date,time,sym,n_close,amount_delta,n_midprice,n_bid1,n_bsize1,n_bid2,n_bsize2,n_bid3,n_bsize3,n_bid4,n_bsize4,n_bid5,n_bsize5,n_ask1,n_asize1,n_ask2,n_asize2,n_ask3,n_asize3,n_ask4,n_asize4,n_ask5,n_asize5,label_5,label_10,label_20,label_40,label_60
34,09:40:03,9,-0.010410958904109702,4891166.0,-0.010342465753424568,-0.010410958904109702,2.1881549101489683e-08,-0.010547945205479414,1.2007500069442463e-07,-0.010684931506849349,5.4703872753724205e-08,-0.010821917808219284,3.3369362379771766e-07,-0.010958904109588996,1.0940774550744841e-07,-0.010273972602739767,3.933208450992771e-06,-0.010136986301369832,4.978052420588903e-07,-0.010000000000000009,1.2581890733356568e-07,-0.009863013698630074,4.81394080232773e-07,-0.00972602739726014,4.507599114906875e-06,0.0,1.0,1.0,2.0,0.0
34,09:40:06,9,-0.010547945205479414,4363680.0,-0.01041095890410948,-0.010547945205479414,3.3342010443394904e-07,-0.010684931506849349,1.4770045643505536e-07,-0.010821917808219284,3.4463439834846253e-07,-0.010958904109588996,1.0940774550744841e-07,-0.011643835616438225,2.0732767773661474e-06,-0.010273972602739767,2.0348199548202796e-06,-0.010136986301369832,4.759236929574006e-07,-0.010000000000000009,3.303566875597405e-07,-0.009863013698630074,4.81394080232773e-07,-0.00972602739726014,4.507599114906875e-06,1.0,1.0,1.0,2.0,0.0
34,09:40:09,9,-0.009863013698630074,22172152.0,-0.009794520547945273,-0.009863013698630074,5.721478051312015e-07,-0.010273972602739767,5.4703872753724205e-08,-0.012328767123287787,1.066725518697622e-06,-0.0124657534246575,8.701033888589111e-06,-0.012602739726027434,1.9091651591049747e-06,-0.00972602739726014,4.507599114906875e-06,-0.009589041095890427,9.693526251959929e-06,-0.009452054794520492,2.1881549101489683e-08,-0.00931506849315078,3.665159474499522e-07,-0.009178082191780845,2.1881549101489682e-07,0.0,1.0,1.0,2.0,0.0
34,09:40:12,9,-0.010136986301369832,7406285.0,-0.009999999999999898,-0.010136986301369832,2.406970401163865e-06,-0.010273972602739767,6.509760857693181e-07,-0.010410958904109702,1.3675968188431052e-07,-0.010821917808219284,5.470387275372421e-09,-0.012328767123287787,1.0776662932483669e-06,-0.009863013698630074,5.689202766387318e-07,-0.00972602739726014,1.9879934397430913e-06,-0.009589041095890427,9.709937413786047e-06,-0.009452054794520492,2.1881549101489683e-08,-0.00931506849315078,3.665159474499522e-07,0.0,1.0,1.0,2.0,0.0
34,09:40:15,9,-0.010273972602739767,7630279.0,-0.010205479452054855,-0.010273972602739767,1.7505239281191746e-06,-0.010410958904109702,1.4770045643505536e-07,-0.010547945205479414,5.470387275372421e-09,-0.010821917808219284,5.470387275372421e-09,-0.010958904109588996,5.470387275372421e-06,-0.010136986301369832,8.588508022334701e-07,-0.009863013698630074,2.521848533946686e-06,-0.00972602739726014,9.048567592193522e-07,-0.009589041095890427,9.709937413786047e-06,-0.009452054794520492,2.1881549101489683e-08,1.0,1.0,2.0,2.0,0.0
34,09:40:18,9,-0.010821917808219284,6633707.0,-0.010890410958904084,-0.010958904109588996,5.475857662647793e-06,-0.01109589041095893,5.470387275372421e-09,-0.011232876712328643,1.0940774550744842e-08,-0.011643835616438225,1.1487813278282084e-07,-0.01178082191780816,1.0940774550744842e-08,-0.010821917808219284,5.043697067893372e-06,-0.010136986301369832,1.143310940552836e-06,-0.00972602739726014,1.3900254066721322e-07,-0.009589041095890427,9.709937413786047e-06,-0.009452054794520492,2.1881549101489683e-08,1.0,2.0,2.0,2.0,0.0
34,09:40:21,9,-0.010410958904109702,15776048.0,-0.010342465753424568,-0.010410958904109702,9.299658368133115e-08,-0.010958904109588996,4.863174287806082e-06,-0.01109589041095893,3.4463439834846253e-07,-0.011232876712328643,2.406970401163865e-07,-0.011643835616438225,2.5710820194250377e-07,-0.010273972602739767,7.603838312767665e-07,-0.010136986301369832,4.5951253113128337e-07,-0.010000000000000009,1.1487813278282084e-07,-0.009863013698630074,2.7351936376862103e-08,-0.00972602739726014,7.166207330737871e-07,1.0,1.0,2.0,2.0,0.0
34,09:40:24,9,-0.010410958904109702,4824677.0,-0.010479452054794502,-0.010547945205479414,1.0940774550744841e-07,-0.010684931506849349,2.406970401163865e-07,-0.010821917808219284,4.3763098202979367e-08,-0.010958904109588996,4.168435103833784e-06,-0.01109589041095893,3.4463439834846253e-07,-0.010410958904109702,5.470387275372421e-09,-0.010273972602739767,1.4770045643505535e-06,-0.010136986301369832,5.251571784357523e-07,-0.010000000000000009,1.1487813278282084e-07,-0.009863013698630074,2.7351936376862103e-08,1.0,1.0,2.0,2.0,0.0
34,09:40:27,9,-0.010410958904109702,7951241.0,-0.010616438356164437,-0.010821917808219284,5.470387275372421e-09,-0.010958904109588996,1.001080871393153e-06,-0.01109589041095893,3.4463439834846253e-07,-0.011232876712328643,2.406970401163865e-07,-0.011643835616438225,5.032756293342627e-07,-0.010410958904109702,9.299658368133115e-08,-0.010273972602739767,1.2198963624080498e-06,-0.010136986301369832,5.415683402618696e-07,-0.010000000000000009,1.4223006915968295e-07,-0.009863013698630074,3.829271092760695e-08,1.0,1.0,2.0,1.0,0.0
34,09:40:30,9,-0.010410958904109702,2961847.0,-0.010684931506849349,-0.010958904109588996,1.0886070677991118e-06,-0.01109589041095893,3.5010478562383493e-07,-0.011232876712328643,2.406970401163865e-07,-0.011643835616438225,5.579795020879869e-07,-0.01178082191780816,1.0940774550744842e-08,-0.010410958904109702,3.2275284924697285e-07,-0.010273972602739767,1.991220968235561e-06,-0.010136986301369832,6.126833748417112e-07,-0.010000000000000009,1.4223006915968295e-07,-0.009863013698630074,4.3763098202979367e-08,1.0,1.0,2.0,1.0,0.0
34,09:40:33,9,-0.010684931506849349,1892549.0,-0.010616438356164437,-0.010684931506849349,1.0940774550744842e-08,-0.010821917808219284,1.4223006915968295e-07,-0.010958904109588996,1.2253667496834223e-06,-0.01109589041095893,6.017426002909662e-07,-0.011232876712328643,2.406970401163865e-07,-0.010547945205479414,2.7351936376862103e-08,-0.010410958904109702,2.406970401163865e-07,-0.010273972602739767,6.389412337634987e-06,-0.010136986301369832,6.400353112185732e-07,-0.010000000000000009,1.4223006915968295e-07,1.0,2.0,2.0,1.0,0.0
34,09:40:36,9,-0.010273972602739767,7483980.0,-0.010342465753424568,-0.010410958904109702,7.93206154929001e-07,-0.010547945205479414,8.205580913058631e-07,-0.010958904109588996,3.391640110730901e-06,-0.01109589041095893,6.017426002909662e-07,-0.011232876712328643,2.5710820194250377e-07,-0.010273972602739767,3.45728475803537e-06,-0.010136986301369832,6.455056984939457e-07,-0.010000000000000009,1.4223006915968295e-07,-0.009863013698630074,1.6958200553654503e-07,-0.00972602739726014,9.846697095670358e-07,1.0,2.0,2.0,1.0,0.0
34,09:40:39,9,-0.010273972602739767,12101672.0,-0.010205479452054855,-0.010273972602739767,1.2034852005819325e-07,-0.010410958904109702,5.689202766387318e-07,-0.010547945205479414,8.369692531319804e-07,-0.010684931506849349,2.1881549101489683e-08,-0.010821917808219284,5.470387275372421e-09,-0.010136986301369832,2.954009128701107e-07,-0.010000000000000009,1.4223006915968295e-07,-0.009863013698630074,1.6958200553654503e-07,-0.00972602739726014,9.846697095670358e-07,-0.009589041095890427,7.97259711900052e-06,1.0,2.0,2.0,1.0,0.0
